"Prov_Nombre","Dpto_Nombre","e0BE","e0EI","e0ET"
"Buenos Aires","25 de Mayo",76,76.1,76.1
"Buenos Aires","9 de Julio",76.5,76,76.5
"Buenos Aires","Adolfo Alsina",76.4,76.5,76.3
"Buenos Aires","Adolfo Gonzales Chaves",77.1,77.1,77.2
"Buenos Aires","Alberti",76.8,77.9,77.2
"Buenos Aires","Almirante Brown",74.6,74.5,74.6
"Buenos Aires","Arrecifes",74.9,74.7,74.7
"Buenos Aires","Avellaneda",73.3,73.7,73.2
"Buenos Aires","Ayacucho",76.5,77.1,76.6
"Buenos Aires","Azul",76.3,75.9,76.3
"Buenos Aires","Bahía Blanca",76.8,76.8,76.7
"Buenos Aires","Balcarce",76.8,76.9,77
"Buenos Aires","Baradero",73.9,74.1,73.5
"Buenos Aires","Benito Juárez",75.5,75.4,75.4
"Buenos Aires","Berazategui",74.3,74.3,74.3
"Buenos Aires","Berisso",74.1,73.8,74
"Buenos Aires","Bolívar",76.2,76.4,76.2
"Buenos Aires","Bragado",75.6,75.9,75.5
"Buenos Aires","Brandsen",75.3,75.7,75.9
"Buenos Aires","Campana",75.1,75.2,75.1
"Buenos Aires","Cañuelas",74.5,74.7,74.6
"Buenos Aires","Capitán Sarmiento",75.4,75.2,75.5
"Buenos Aires","Carlos Casares",75.6,76,75.2
"Buenos Aires","Carlos Tejedor",76.8,77.6,77.7
"Buenos Aires","Carmen de Areco",75.7,75.7,75.7
"Buenos Aires","Castelli",75.8,76,75.7
"Buenos Aires","Chacabuco",75.5,75.2,75.6
"Buenos Aires","Chascomús",79.3,80.2,80.1
"Buenos Aires","Chivilcoy",76.2,76,76.2
"Buenos Aires","Colón",76,76.3,75.9
"Buenos Aires","Coronel de Marina Leonardo Rosales",76.7,76.6,76.8
"Buenos Aires","Coronel Dorrego",77.7,78.5,78.2
"Buenos Aires","Coronel Pringles",76,75.8,75.8
"Buenos Aires","Coronel Suárez",77,76.9,77
"Buenos Aires","Daireaux",76.2,76.1,76.6
"Buenos Aires","Dolores",75.4,75.3,75.2
"Buenos Aires","Ensenada",74,73.7,73.9
"Buenos Aires","Escobar",75.4,75.3,75.3
"Buenos Aires","Esteban Echeverría",74.5,74.6,74.6
"Buenos Aires","Exaltación de la Cruz",74.8,74.9,74.9
"Buenos Aires","Ezeiza",74.4,74.4,74.3
"Buenos Aires","Florencio Varela",73.7,73.7,73.7
"Buenos Aires","Florentino Ameghino",76.1,76.4,77
"Buenos Aires","General Alvarado",76.7,76.9,77
"Buenos Aires","General Alvear",76.1,76.2,76.6
"Buenos Aires","General Arenales",75.2,75.6,74.7
"Buenos Aires","General Belgrano",76,75.9,76
"Buenos Aires","General Guido",76,77.6,76.9
"Buenos Aires","General Juan Madariaga",75.7,75.7,75.5
"Buenos Aires","General La Madrid",76.5,76.9,76.7
"Buenos Aires","General Las Heras",75.5,75.7,75.1
"Buenos Aires","General Lavalle",75,74.1,73.1
"Buenos Aires","General Paz",75.9,76.3,76.2
"Buenos Aires","General Pinto",75.9,75.6,76.1
"Buenos Aires","General Pueyrredón",75.7,75.7,75.7
"Buenos Aires","General Rodríguez",73,72.8,72.7
"Buenos Aires","General San Martín",74.8,74.8,74.9
"Buenos Aires","General Viamonte",76.7,76.8,76.9
"Buenos Aires","General Villegas",76.1,76,76.2
"Buenos Aires","Guaminí",78.4,79.6,79.4
"Buenos Aires","Hipólito Yrigoyen",76.5,76.5,77.1
"Buenos Aires","Hurlingham",76.1,76.2,76
"Buenos Aires","Ituzaingó",76.6,76.6,76.8
"Buenos Aires","José C. Paz",73.7,73.8,73.7
"Buenos Aires","Junín",75.2,74.9,75.1
"Buenos Aires","La Costa",76.5,76.7,76.5
"Buenos Aires","La Plata",75.4,75.3,75.4
"Buenos Aires","Lanús",74.9,74.8,74.9
"Buenos Aires","Laprida",76.3,76,75.7
"Buenos Aires","Las Flores",76.3,76.4,76.6
"Buenos Aires","Leandro N. Alem",75.3,76.2,74.6
"Buenos Aires","Lincoln",76,75.7,76.1
"Buenos Aires","Lobería",76.9,77.1,77.4
"Buenos Aires","Lobos",75.9,76.3,75.7
"Buenos Aires","Lomas de Zamora",74.1,74.3,74.1
"Buenos Aires","Luján",74.5,74.7,74.5
"Buenos Aires","Magdalena",74.9,74.5,74.6
"Buenos Aires","Maipú",74.8,74.4,74
"Buenos Aires","Malvinas Argentinas",74.4,74.5,74.5
"Buenos Aires","Mar Chiquita",77.2,77.2,77.7
"Buenos Aires","Marcos Paz",73.4,73.2,73.1
"Buenos Aires","Mercedes",75.1,75.2,74.9
"Buenos Aires","Merlo",74.2,74.1,74.2
"Buenos Aires","Monte",74.4,74.4,73.8
"Buenos Aires","Monte Hermoso",77.2,78.2,77.8
"Buenos Aires","Moreno",73.5,73.5,73.5
"Buenos Aires","Morón",75.2,75.1,75.3
"Buenos Aires","Navarro",76.1,76.3,76.1
"Buenos Aires","Necochea",75.9,75.8,75.9
